cust_id;age;gender;city;loyalty_segment;preferred_channel;registration_date
94;20;MALE;Abu Dhabi;Platinum;Website;04/11/2022
95;50;MALE;Sharjah;Silver;Website;26/06/2022
96;35;FEMALE;Abu Dhabi;Silver;Store;14/06/2021
97;35;MALE;Dubai;Gold;Store;27/07/2021
98;30;FEMALE;Dubai;Silver;Website;07/08/2023
99;20;MALE;Dubai;Gold;Amazon.Ae;12/09/2023
100;20;FEMALE;Dubai;Platinum;Store;06/09/2022
101;20;MALE;Abu Dhabi;Silver;Mobileapp;08/01/2022
102;20;FEMALE;Sharjah;Silver;Store;10/09/2022
103;40;MALE;Abu Dhabi;Silver;Website;10/03/2021
104;25;FEMALE;Sharjah;Gold;Website;24/03/2025
105;18;MALE;Dubai;Gold;Website;17/07/2025
106;55;FEMALE;Sharjah;Silver;Store;08/10/2024
107;45;MALE;Abu Dhabi;Silver;Store;11/04/2021
108;50;FEMALE;Dubai;Silver;Website;01/01/2021
109;60;MALE;Abu Dhabi;Gold;Store;17/12/2021
110;20;MALE;Dubai;Silver;Store;07/01/2021
111;25;MALE;Abu Dhabi;Silver;Website;14/11/2021
112;40;MALE;Abu Dhabi;Gold;Website;15/09/2022
113;35;MALE;Dubai;Silver;Store;24/05/2022
114;20;FEMALE;Abu Dhabi;Silver;Website;05/07/2021
115;40;FEMALE;Abu Dhabi;Silver;Amazon.Ae;29/12/2022
116;20;MALE;Dubai;Silver;Store;07/04/2022
117;20;FEMALE;Dubai;Silver;Website;09/12/2021
118;30;MALE;Dubai;Platinum;Store;27/09/2022
119;30;MALE;Abu Dhabi;Gold;Store;14/12/2022
120;30;FEMALE;Sharjah;Gold;Store;29/10/2023
121;18;FEMALE;Sharjah;Platinum;Store;30/07/2022
122;45;FEMALE;Abu Dhabi;Silver;Mobileapp;16/05/2021
123;25;MALE;Abu Dhabi;Silver;Store;18/01/2022
124;20;FEMALE;Dubai;Silver;Website;05/07/2021
125;45;MALE;Abu Dhabi;Gold;Store;01/10/2022
126;55;MALE;Dubai;Gold;Store;17/07/2023
127;45;MALE;Dubai;Silver;Website;27/10/2024
128;40;FEMALE;Abu Dhabi;Silver;Mobileapp;22/08/2023
129;35;FEMALE;Dubai;Silver;Mobileapp;15/07/2022
130;30;FEMALE;Abu Dhabi;Silver;Mobileapp;04/04/2024
131;18;MALE;Sharjah;Gold;Store;17/06/2023
132;25;MALE;Dubai;Silver;Mobileapp;01/10/2022
133;25;MALE;Dubai;Platinum;Store;17/11/2021
134;25;MALE;Sharjah;Silver;Mobileapp;09/09/2025
135;35;MALE;Abu Dhabi;Gold;Amazon.Ae;05/10/2025
136;30;FEMALE;Dubai;Platinum;Store;26/03/2024
137;18;MALE;Dubai;Platinum;Store;08/05/2023
138;20;MALE;Abu Dhabi;Silver;Website;21/10/2025
139;35;MALE;Abu Dhabi;Silver;Mobileapp;25/09/2023
140;18;MALE;Dubai;Silver;Store;12/10/2021
141;45;MALE;Dubai;Silver;Noon;18/11/2023
142;30;FEMALE;Sharjah;Gold;Website;17/12/2021
143;30;FEMALE;Abu Dhabi;Platinum;Store;24/03/2021
144;30;FEMALE;Sharjah;Silver;Store;06/07/2025
145;40;MALE;Abu Dhabi;Silver;Mobileapp;28/10/2022
146;25;MALE;Sharjah;Silver;Store;25/10/2024
147;35;MALE;Dubai;Gold;Store;25/06/2022
148;30;FEMALE;Abu Dhabi;Platinum;Website;19/11/2024
149;25;FEMALE;Dubai;Silver;Website;25/04/2022
150;45;MALE;Abu Dhabi;Silver;Website;01/08/2021
151;40;MALE;Dubai;Gold;Store;26/06/2025
152;35;MALE;Dubai;Gold;Mobileapp;19/07/2023
153;45;FEMALE;Sharjah;Silver;Noon;26/12/2021
154;45;FEMALE;Sharjah;Gold;Store;02/08/2021
155;35;FEMALE;Dubai;Platinum;Mobileapp;31/10/2021
156;40;MALE;Abu Dhabi;Silver;Amazon.Ae;24/03/2024
157;35;MALE;Dubai;Silver;Website;04/11/2024
158;35;MALE;Dubai;Silver;Website;19/07/2021
159;35;MALE;Sharjah;Silver;Store;31/08/2025
160;40;MALE;Dubai;Silver;Website;26/08/2021
161;20;FEMALE;Sharjah;Silver;Website;02/11/2022
162;45;FEMALE;Dubai;Silver;Mobileapp;25/09/2025
163;45;MALE;Abu Dhabi;Silver;Noon;05/04/2024
164;18;FEMALE;Abu Dhabi;Silver;Store;03/06/2024
165;40;MALE;Dubai;Silver;Store;29/05/2023
166;20;MALE;Dubai;Gold;Store;08/09/2021
167;25;MALE;Sharjah;Gold;Mobileapp;27/07/2024
168;35;MALE;Abu Dhabi;Silver;Store;21/04/2022
169;20;MALE;Dubai;Silver;Website;13/05/2022
170;40;MALE;Abu Dhabi;Gold;Store;05/09/2023
171;40;MALE;Dubai;Silver;Website;23/10/2025
172;30;FEMALE;Dubai;Platinum;Store;08/04/2025
173;18;MALE;Dubai;Silver;Amazon.Ae;24/09/2023
174;25;MALE;Dubai;Gold;Website;02/12/2022
175;35;MALE;Sharjah;Silver;Amazon.Ae;05/12/2024
176;60;FEMALE;Abu Dhabi;Gold;Website;23/02/2023
177;35;MALE;Sharjah;Gold;Store;05/03/2022
178;25;FEMALE;Abu Dhabi;Platinum;Store;23/06/2022
179;35;MALE;Sharjah;Platinum;Noon;20/06/2023
180;30;MALE;Abu Dhabi;Silver;Mobileapp;06/01/2025
181;40;FEMALE;Abu Dhabi;Silver;Store;26/08/2023
182;20;MALE;Sharjah;Silver;Mobileapp;29/07/2021
183;40;MALE;Abu Dhabi;Silver;Store;20/04/2025
184;30;MALE;Dubai;Silver;Store;30/09/2025
185;55;FEMALE;Abu Dhabi;Gold;Store;06/05/2022
186;25;MALE;Sharjah;Platinum;Mobileapp;16/04/2022
187;35;MALE;Abu Dhabi;Silver;Store;06/09/2025
188;50;FEMALE;Abu Dhabi;Silver;Store;20/10/2025
189;20;MALE;Abu Dhabi;Silver;Store;22/07/2022
190;50;FEMALE;Sharjah;Gold;Store;26/10/2022
191;35;FEMALE;Dubai;Silver;Website;26/01/2025
192;18;MALE;Abu Dhabi;Platinum;Store;04/07/2022
193;25;MALE;Dubai;Gold;Store;09/02/2025
194;35;MALE;Abu Dhabi;Gold;Amazon.Ae;17/07/2021
195;18;FEMALE;Abu Dhabi;Silver;Store;05/06/2022
196;30;FEMALE;Dubai;Silver;Store;03/03/2025
197;25;FEMALE;Dubai;Platinum;Website;15/03/2025
198;35;FEMALE;Abu Dhabi;Gold;Website;10/09/2025
199;18;FEMALE;Dubai;Platinum;Mobileapp;10/09/2024
200;45;MALE;Dubai;Silver;Store;19/11/2022
201;55;MALE;Sharjah;Gold;Amazon.Ae;12/04/2022
202;55;FEMALE;Dubai;Silver;Mobileapp;19/08/2022
203;35;MALE;Dubai;Gold;Mobileapp;19/05/2021
204;20;MALE;Sharjah;Gold;Store;12/10/2023
205;40;FEMALE;Dubai;Gold;Store;30/08/2021
206;18;MALE;Dubai;Gold;Website;12/11/2021
207;18;FEMALE;Abu Dhabi;Silver;Amazon.Ae;29/10/2022
208;25;FEMALE;Abu Dhabi;Platinum;Website;03/01/2023
209;30;MALE;Sharjah;Platinum;Store;15/05/2021
210;40;FEMALE;Sharjah;Silver;Store;26/04/2024
211;35;MALE;Abu Dhabi;Platinum;Website;10/09/2025
212;25;MALE;Dubai;Silver;Mobileapp;02/08/2022
213;25;MALE;Dubai;Gold;Store;29/12/2023
214;60;MALE;Dubai;Silver;Store;15/03/2022
215;25;MALE;Dubai;Platinum;Store;18/03/2021
216;30;MALE;Abu Dhabi;Silver;Website;04/02/2022
217;20;MALE;Abu Dhabi;Silver;Mobileapp;09/01/2022
218;40;MALE;Dubai;Silver;Mobileapp;02/11/2023
219;35;FEMALE;Sharjah;Silver;Website;19/02/2025
220;20;FEMALE;Dubai;Gold;Store;28/01/2023
221;18;MALE;Dubai;Silver;Website;19/01/2023
222;35;MALE;Abu Dhabi;Gold;Noon;03/02/2023
223;35;MALE;Dubai;Platinum;Amazon.Ae;21/02/2022
224;25;MALE;Dubai;Gold;Amazon.Ae;26/07/2021
225;55;FEMALE;Dubai;Gold;Store;07/12/2021
226;20;FEMALE;Dubai;Silver;Mobileapp;02/07/2025
227;25;MALE;Abu Dhabi;Silver;Amazon.Ae;22/12/2022
228;50;MALE;Sharjah;Silver;Website;07/11/2021
229;25;MALE;Dubai;Silver;Store;24/08/2024
230;35;FEMALE;Dubai;Platinum;Noon;09/08/2024
231;25;MALE;Abu Dhabi;Silver;Website;17/09/2022
232;25;FEMALE;Sharjah;Platinum;Store;31/10/2024
233;60;FEMALE;Dubai;Silver;Store;31/03/2025
234;25;MALE;Dubai;Gold;Website;25/09/2024
235;45;FEMALE;Abu Dhabi;Silver;Store;24/03/2021
236;20;FEMALE;Abu Dhabi;Silver;Store;20/05/2025
237;20;FEMALE;Dubai;Gold;Mobileapp;15/01/2025
238;18;MALE;Abu Dhabi;Silver;Mobileapp;24/10/2023
239;35;MALE;Dubai;Gold;Mobileapp;19/01/2025
240;25;FEMALE;Abu Dhabi;Silver;Store;23/05/2023
241;45;FEMALE;Abu Dhabi;Silver;Website;24/08/2021
242;30;FEMALE;Sharjah;Platinum;Store;24/01/2022
243;55;FEMALE;Dubai;Silver;Store;28/01/2022
244;20;FEMALE;Dubai;Gold;Store;23/07/2025
245;45;FEMALE;Dubai;Silver;Mobileapp;17/01/2023
246;40;MALE;Sharjah;Gold;Store;30/01/2021
247;40;MALE;Dubai;Silver;Store;26/05/2025
248;40;FEMALE;Dubai;Silver;Store;09/09/2023
249;40;FEMALE;Dubai;Silver;Website;17/03/2024
250;35;FEMALE;Abu Dhabi;Silver;Amazon.Ae;28/08/2022
251;20;MALE;Dubai;Silver;Amazon.Ae;10/10/2021
252;18;FEMALE;Dubai;Gold;Store;19/10/2025
253;50;FEMALE;Dubai;Gold;Store;26/08/2021
254;35;MALE;Sharjah;Silver;Store;29/10/2025
255;40;MALE;Abu Dhabi;Silver;Mobileapp;01/01/2023
256;30;MALE;Abu Dhabi;Silver;Store;04/09/2024
257;20;MALE;Sharjah;Silver;Store;22/09/2024
258;20;MALE;Sharjah;Silver;Website;31/01/2021
259;35;MALE;Dubai;Silver;Store;05/09/2023
260;25;MALE;Sharjah;Platinum;Store;04/07/2023
261;20;FEMALE;Dubai;Gold;Store;08/07/2025
262;30;FEMALE;Dubai;Silver;Store;26/06/2025
263;18;FEMALE;Sharjah;Silver;Website;17/06/2025
264;30;MALE;Dubai;Gold;Noon;26/07/2021
265;25;MALE;Dubai;Silver;Store;22/06/2023
266;40;FEMALE;Dubai;Gold;Store;06/06/2024
267;25;MALE;Abu Dhabi;Platinum;Amazon.Ae;06/08/2022
268;30;FEMALE;Dubai;Silver;Amazon.Ae;27/09/2024
269;18;FEMALE;Abu Dhabi;Silver;Store;05/04/2022
270;18;MALE;Sharjah;Gold;Website;16/05/2021
271;25;FEMALE;Abu Dhabi;Platinum;Store;05/09/2023
272;30;MALE;Dubai;Silver;Mobileapp;11/10/2021
273;35;MALE;Sharjah;Gold;Noon;30/04/2023
274;25;FEMALE;Dubai;Silver;Website;17/12/2021
275;35;MALE;Dubai;Silver;Website;17/01/2021
276;45;FEMALE;Dubai;Gold;Store;23/05/2024
277;40;MALE;Abu Dhabi;Platinum;Website;19/11/2024
278;18;MALE;Dubai;Gold;Website;23/11/2024
279;30;FEMALE;Dubai;Gold;Website;18/02/2022
280;20;FEMALE;Dubai;Silver;Store;21/06/2024
281;20;MALE;Dubai;Silver;Website;24/01/2024
282;60;MALE;Abu Dhabi;Silver;Website;15/07/2025
283;20;FEMALE;Sharjah;Silver;Store;06/01/2021
284;30;MALE;Abu Dhabi;Gold;Store;19/02/2023
285;35;FEMALE;Dubai;Silver;Store;28/03/2021
286;35;FEMALE;Dubai;Gold;Mobileapp;08/07/2021
287;30;FEMALE;Sharjah;Gold;Website;27/06/2025
288;18;FEMALE;Dubai;Silver;Mobileapp;28/06/2025
289;25;MALE;Sharjah;Silver;Store;24/02/2022
290;30;FEMALE;Dubai;Gold;Amazon.Ae;27/12/2023
291;18;FEMALE;Sharjah;Platinum;Mobileapp;30/06/2025
292;25;MALE;Dubai;Gold;Store;05/09/2021
293;18;FEMALE;Dubai;Silver;Store;10/05/2023
294;18;MALE;Abu Dhabi;Silver;Store;26/07/2021
295;25;MALE;Abu Dhabi;Silver;Noon;13/05/2024
296;20;MALE;Dubai;Silver;Store;04/09/2024
297;30;FEMALE;Abu Dhabi;Gold;Store;12/01/2024
298;35;MALE;Abu Dhabi;Gold;Store;28/02/2022
299;40;FEMALE;Dubai;Silver;Mobileapp;11/01/2024
300;20;FEMALE;Dubai;Silver;Store;03/07/2022
301;20;MALE;Dubai;Silver;Store;15/10/2025
302;20;MALE;Dubai;Platinum;Store;02/05/2022
303;35;FEMALE;Abu Dhabi;Silver;Store;13/05/2021
304;35;MALE;Dubai;Gold;Store;25/04/2021
305;18;FEMALE;Dubai;Silver;Website;12/01/2022
306;50;MALE;Dubai;Gold;Mobileapp;04/09/2023
307;18;MALE;Abu Dhabi;Silver;Mobileapp;30/07/2021
308;30;FEMALE;Dubai;Silver;Mobileapp;12/05/2021
309;35;MALE;Dubai;Gold;Store;29/10/2024
310;45;MALE;Dubai;Silver;Mobileapp;03/06/2021
311;35;MALE;Sharjah;Silver;Store;09/07/2023
312;40;MALE;Dubai;Silver;Store;17/12/2024
313;25;MALE;Abu Dhabi;Silver;Amazon.Ae;10/08/2023
314;40;FEMALE;Dubai;Silver;Mobileapp;17/03/2023
315;18;MALE;Dubai;Gold;Website;21/10/2024
316;45;MALE;Abu Dhabi;Platinum;Amazon.Ae;14/09/2025
317;30;FEMALE;Dubai;Silver;Noon;27/05/2021
318;40;MALE;Sharjah;Silver;Website;24/10/2025
319;30;MALE;Sharjah;Silver;Website;25/02/2024
320;35;FEMALE;Abu Dhabi;Silver;Mobileapp;24/08/2024
321;30;FEMALE;Abu Dhabi;Silver;Store;16/12/2022
322;35;FEMALE;Dubai;Gold;Store;16/02/2024
323;18;FEMALE;Dubai;Silver;Mobileapp;16/05/2025
324;18;MALE;Sharjah;Silver;Store;19/08/2021
325;20;FEMALE;Abu Dhabi;Gold;Store;27/03/2022
326;20;MALE;Abu Dhabi;Platinum;Store;04/03/2025
327;45;MALE;Dubai;Platinum;Store;13/08/2025
328;20;MALE;Dubai;Gold;Noon;14/03/2024
329;55;MALE;Sharjah;Platinum;Website;26/06/2023
330;25;MALE;Dubai;Silver;Website;05/07/2025
331;20;FEMALE;Dubai;Silver;Noon;30/08/2025
332;40;MALE;Dubai;Silver;Amazon.Ae;21/09/2025
333;35;MALE;Sharjah;Gold;Website;09/12/2023
334;30;MALE;Dubai;Platinum;Amazon.Ae;17/04/2021
335;30;MALE;Sharjah;Silver;Store;03/04/2021
336;35;FEMALE;Dubai;Gold;Store;18/07/2025
337;20;MALE;Sharjah;Gold;Store;09/04/2023
338;60;MALE;Abu Dhabi;Platinum;Website;20/05/2021
339;55;MALE;Dubai;Gold;Website;30/08/2024
340;35;FEMALE;Abu Dhabi;Platinum;Website;11/01/2021
341;20;MALE;Dubai;Silver;Website;24/03/2022
342;35;MALE;Dubai;Silver;Store;16/07/2023
343;18;MALE;Sharjah;Silver;Store;30/01/2022
344;18;MALE;Dubai;Silver;Website;09/03/2025
345;25;MALE;Dubai;Silver;Store;13/01/2022
346;30;FEMALE;Dubai;Gold;Website;27/12/2021
347;45;FEMALE;Dubai;Gold;Website;14/11/2022
348;35;FEMALE;Sharjah;Gold;Website;14/10/2023
349;35;MALE;Dubai;Silver;Store;21/04/2025
350;25;MALE;Sharjah;Silver;Website;04/10/2022
351;25;MALE;Sharjah;Silver;Mobileapp;27/07/2022
352;25;FEMALE;Dubai;Silver;Noon;24/09/2023
353;60;FEMALE;Dubai;Silver;Mobileapp;04/05/2025
354;18;FEMALE;Sharjah;Silver;Website;12/07/2023
355;45;MALE;Dubai;Silver;Store;31/01/2022
356;30;MALE;Dubai;Gold;Website;05/07/2021
357;25;MALE;Dubai;Silver;Amazon.Ae;29/05/2024
358;35;FEMALE;Abu Dhabi;Platinum;Store;22/03/2025
359;30;FEMALE;Abu Dhabi;Silver;Store;16/08/2024
360;45;FEMALE;Dubai;Platinum;Store;13/04/2024
361;50;MALE;Dubai;Silver;Mobileapp;06/01/2022
362;25;MALE;Sharjah;Silver;Store;13/03/2025
363;25;FEMALE;Abu Dhabi;Silver;Store;12/05/2024
364;30;FEMALE;Abu Dhabi;Gold;Amazon.Ae;31/08/2022
365;50;MALE;Abu Dhabi;Silver;Website;09/10/2021
366;20;MALE;Dubai;Silver;Store;29/07/2025
367;35;MALE;Abu Dhabi;Gold;Store;10/12/2024
368;35;MALE;Dubai;Silver;Store;23/11/2023
369;35;MALE;Dubai;Silver;Website;23/03/2021
370;20;FEMALE;Abu Dhabi;Silver;Store;15/02/2025
371;35;MALE;Dubai;Gold;Website;28/05/2021
372;50;MALE;Sharjah;Silver;Mobileapp;19/06/2025
373;20;MALE;Dubai;Silver;Website;23/08/2023
374;20;FEMALE;Sharjah;Silver;Store;19/09/2023
375;55;FEMALE;Sharjah;Silver;Website;06/08/2023
376;20;MALE;Dubai;Gold;Mobileapp;10/05/2022
377;45;FEMALE;Abu Dhabi;Silver;Store;08/04/2024
378;30;FEMALE;Dubai;Silver;Store;24/12/2022
379;20;MALE;Sharjah;Silver;Website;04/12/2022
380;45;MALE;Dubai;Silver;Website;28/10/2023
381;25;FEMALE;Abu Dhabi;Silver;Store;04/11/2024
382;30;FEMALE;Dubai;Silver;Mobileapp;06/04/2023
383;25;FEMALE;Dubai;Silver;Website;10/03/2022
384;30;FEMALE;Dubai;Platinum;Amazon.Ae;24/11/2023
385;20;FEMALE;Dubai;Silver;Store;17/07/2022
386;25;MALE;Abu Dhabi;Silver;Mobileapp;14/07/2025
387;55;MALE;Abu Dhabi;Silver;Store;18/05/2021
388;25;MALE;Abu Dhabi;Silver;Website;02/01/2022
389;35;MALE;Dubai;Gold;Website;16/04/2021
390;25;FEMALE;Dubai;Silver;Store;05/03/2023
391;40;FEMALE;Dubai;Silver;Mobileapp;22/11/2023
392;20;FEMALE;Sharjah;Gold;Store;28/09/2022
393;55;MALE;Sharjah;Silver;Website;02/09/2025
394;30;FEMALE;Dubai;Silver;Store;14/09/2023
395;20;MALE;Dubai;Silver;Mobileapp;16/08/2023
396;18;MALE;Dubai;Silver;Store;28/03/2025
397;20;FEMALE;Abu Dhabi;Gold;Mobileapp;06/04/2024
398;30;FEMALE;Abu Dhabi;Silver;Mobileapp;05/05/2023
399;25;FEMALE;Abu Dhabi;Silver;Mobileapp;19/03/2021
400;40;MALE;Dubai;Silver;Store;19/04/2025
401;25;MALE;Abu Dhabi;Silver;Website;28/07/2021
402;20;MALE;Abu Dhabi;Platinum;Store;05/12/2024
403;35;MALE;Dubai;Silver;Mobileapp;08/01/2021
404;35;FEMALE;Abu Dhabi;Platinum;Mobileapp;07/01/2023
405;20;FEMALE;Dubai;Silver;Website;15/08/2021
406;20;FEMALE;Dubai;Gold;Mobileapp;24/06/2021
407;18;MALE;Sharjah;Silver;Store;22/03/2021
408;35;FEMALE;Dubai;Silver;Website;17/12/2023
409;35;MALE;Sharjah;Gold;Store;04/03/2024
410;30;FEMALE;Abu Dhabi;Gold;Noon;26/08/2021
411;40;MALE;Dubai;Silver;Amazon.Ae;04/02/2025
412;40;MALE;Abu Dhabi;Silver;Mobileapp;25/05/2024
413;30;MALE;Abu Dhabi;Silver;Amazon.Ae;29/10/2025
414;45;FEMALE;Dubai;Platinum;Store;16/11/2023
415;20;MALE;Dubai;Silver;Amazon.Ae;06/07/2021
416;20;MALE;Dubai;Gold;Store;22/09/2022
417;25;FEMALE;Dubai;Gold;Mobileapp;29/09/2025
418;18;MALE;Dubai;Gold;Mobileapp;14/02/2024
419;30;MALE;Dubai;Silver;Store;11/10/2023
420;50;MALE;Dubai;Silver;Store;26/03/2023
421;18;MALE;Sharjah;Platinum;Store;06/09/2022
422;20;FEMALE;Dubai;Gold;Noon;11/06/2023
423;30;FEMALE;Abu Dhabi;Gold;Store;01/04/2024
424;50;MALE;Abu Dhabi;Silver;Website;08/12/2024
425;25;FEMALE;Abu Dhabi;Gold;Mobileapp;27/06/2021
426;30;MALE;Dubai;Silver;Store;12/09/2023
427;18;MALE;Sharjah;Silver;Website;07/10/2021
428;20;MALE;Abu Dhabi;Gold;Website;09/03/2023
429;60;MALE;Sharjah;Silver;Store;20/05/2024
430;55;MALE;Dubai;Gold;Mobileapp;14/12/2023
431;18;FEMALE;Dubai;Silver;Store;08/03/2021
432;55;FEMALE;Abu Dhabi;Silver;Store;28/06/2022
433;35;MALE;Dubai;Silver;Website;04/06/2022
434;45;FEMALE;Dubai;Silver;Store;14/05/2022
435;30;FEMALE;Dubai;Silver;Amazon.Ae;04/08/2023
436;30;FEMALE;Abu Dhabi;Gold;Amazon.Ae;25/12/2024
437;30;FEMALE;Sharjah;Gold;Website;28/12/2022
438;35;MALE;Dubai;Silver;Store;06/12/2023
439;20;FEMALE;Sharjah;Silver;Store;04/06/2025
440;18;FEMALE;Abu Dhabi;Gold;Store;25/11/2023
441;25;FEMALE;Dubai;Gold;Website;08/07/2021
442;35;MALE;Sharjah;Gold;Mobileapp;18/01/2024
443;20;MALE;Sharjah;Gold;Store;20/09/2024
444;35;MALE;Abu Dhabi;Silver;Store;05/08/2023
445;55;MALE;Dubai;Silver;Website;16/05/2021
446;18;MALE;Abu Dhabi;Silver;Store;30/06/2022
447;35;FEMALE;Dubai;Silver;Mobileapp;04/03/2023
448;25;MALE;Dubai;Gold;Website;11/02/2024
449;45;FEMALE;Dubai;Silver;Website;10/04/2024
450;20;MALE;Sharjah;Platinum;Store;24/09/2024
451;35;FEMALE;Sharjah;Gold;Amazon.Ae;09/07/2022
452;40;MALE;Dubai;Gold;Store;13/06/2023
453;50;MALE;Dubai;Platinum;Amazon.Ae;04/08/2023
454;35;FEMALE;Sharjah;Silver;Store;09/06/2022
455;30;FEMALE;Dubai;Gold;Amazon.Ae;23/06/2021
